text,author,likes,shares
"BREAKING: Scientists discover shocking truth about vaccines that doctors DON'T want you to know!!!",User_5,234,89
"Just had a great cup of coffee this morning. Happy Monday everyone!",User_12,15,2
"New study published in Nature shows promising results for climate research.",User_3,45,12
"URGENT!!! Government leaked documents expose massive coverup! Share before this gets deleted!",User_8,567,234
"Attended an interesting seminar on AI ethics today. Very thought-provoking.",User_1,28,5
"MIRACLE CURE: This one simple trick will change your life forever! 100% GUARANTEED!",User_15,892,456
"Looking forward to the weekend. Any recommendations for good books to read?",User_7,12,3
"The hidden truth about 5G towers that they are hiding from us! Wake up people!!!",User_19,445,178
"Enjoyed the local farmers market today. Got some fresh vegetables.",User_4,34,1
"EXPOSED: Mainstream media conspiracy to control your thoughts! SHOCKING evidence leaked!",User_11,678,312
"Working on a new project at work. Excited to see where it goes!",User_6,19,0
"This UNBELIEVABLE secret will make you rich overnight! Doctors hate this trick!",User_14,1234,567
"Reading an interesting research paper on renewable energy solutions.",User_2,67,15
"THEY are hiding the TRUTH! Click here before Big Tech censors this!",User_17,890,423
"Had a nice walk in the park today. Weather was perfect.",User_9,23,4
"BREAKING NEWS: Celebrity scandal that will SHOCK you! You won't believe #7!",User_13,1567,789
"Trying out a new recipe for dinner tonight. Wish me luck!",User_10,41,6
"The government doesn't want you to see this! URGENT - SHARE NOW!!!",User_16,723,356
"Congratulations to the team on completing the project ahead of schedule!",User_18,52,8
"EXPOSED: Ancient secret the elites have been hiding for centuries!",User_20,934,467
